"prod","dest","mean","sd"
"MobilityTextiles","Coastal and ocean water (MP)",0,0
"Geotextiles","Soil",0.019773428399842,0.00888203729491245
"Geotextiles","Soil (MP)",0,0
"Geotextiles","Fresh water",0,0
"Geotextiles","Fresh water (MP)",0,0
"Geotextiles","Subsurface soil (MP)",0.0121150248589176,0.00579105462945486
"Geotextiles","Coastal and ocean water",0,0
"Geotextiles","Coastal and ocean water (MP)",0,0
"BuildingTextiles","Soil",0.0198389727135956,0.00863999521464754
"BuildingTextiles","Soil (MP)",0,0
"BuildingTextiles","Fresh water",0,0
"BuildingTextiles","Fresh water (MP)",0,0
"BuildingTextiles","Subsurface soil (MP)",0,0
"BuildingTextiles","Coastal and ocean water",0,0
"BuildingTextiles","Coastal and ocean water (MP)",0,0
"TechnicalHouseholdTextiles","Soil",0.000150974692490185,7.19806981224735e-05
"TechnicalHouseholdTextiles","Soil (MP)",0.000657587375455335,0.000611367931777032
"TechnicalHouseholdTextiles","Fresh water",4.69987025209682e-07,2.444250493003e-07
"TechnicalHouseholdTextiles","Fresh water (MP)",0.000110832154764885,9.76706928125863e-05
"TechnicalHouseholdTextiles","Subsurface soil (MP)",8.45738524450186e-05,4.72272962754463e-05
"TechnicalHouseholdTextiles","Coastal and ocean water",1.8381065139807e-07,8.90351273473532e-08
"TechnicalHouseholdTextiles","Coastal and ocean water (MP)",5.58113163668807e-05,6.61885046165113e-05
"TechnicalClothing","Soil",0.000150599146612222,6.76372095441196e-05
"TechnicalClothing","Soil (MP)",0.00191931327071298,0.00131381143913777
"TechnicalClothing","Fresh water",4.67418485452033e-07,2.25239177059061e-07
"TechnicalClothing","Fresh water (MP)",0.000506605955849288,0.000248565331665954
"TechnicalClothing","Subsurface soil (MP)",0.000859532715124605,0.000415167691036739
"TechnicalClothing","Coastal and ocean water",1.83055639348946e-07,8.34621013662911e-08
"TechnicalClothing","Coastal and ocean water (MP)",0.00016205286728539,0.000141772027595193
"OtherTechnicalTextiles","Soil",NA,NA
"OtherTechnicalTextiles","Soil (MP)",NA,NA
"OtherTechnicalTextiles","Fresh water",NA,NA
"OtherTechnicalTextiles","Fresh water (MP)",NA,NA
"OtherTechnicalTextiles","Subsurface soil (MP)",NA,NA
"OtherTechnicalTextiles","Coastal and ocean water",NA,NA
"OtherTechnicalTextiles","Coastal and ocean water (MP)",NA,NA
"Post-consumer processes","Soil",0.00132555353239347,0.000594430797518246
"Post-consumer processes","Soil (MP)",7.01659611523414e-05,2.09499298352282e-05
"Post-consumer processes","Fresh water",0,0
"Post-consumer processes","Fresh water (MP)",2.10874924342303e-05,9.83496876118541e-06
"Post-consumer processes","Subsurface soil (MP)",5.32851695637529e-05,2.76662770050398e-05
"Post-consumer processes","Coastal and ocean water",0,0
"Post-consumer processes","Coastal and ocean water (MP)",2.1607944117276e-06,1.32236311454449e-06
